ArtikelNR,PG,PGSub,ArtikelType,OmsNederlands,OmsEngels,OmsFrans,Unnamed: 7,Unnamed: 8,A5 ARTIKELTYPE,Synoniem,Unnamed: 11,Unnamed: 12
239564,Diversen,,DIVERSEN,SIDE TABLE POLO 43X55CM GREY,SIDE TABLE POLO 43X55CM GREY,POLO TABLE DE SERVICE RONDE GRIS SET 2 H43XD55CM,0.21109694284490943,0.0046349185862232245,,,,
159292,Diversen,,DIVERSEN,KINDERSTOEL 76X76CM 3 ASS,CHAIR CHILD 76X76CM 3 ASS CL,CHAISE POUR ENFANT 76X76CM,0.33112545417341144,0.004637104863322361,,,,
226190,Diversen,,DIVERSEN,LED LICHTDOOS 70 LETTERS 30X22X4.5CM 10L, ,LED BOITE LUMIERE 70 LETTRES 30X22X4.5CM 10L,0.14767770918355194,0.004692653886104736,,,,
221261,Diversen,,DIVERSEN,BOWL GABRIEL H16XD32CM CERAMIC BORDEAUX,BOWL GABRIEL H16XD32CM CERAMIC BORDEAUX, ,0.09771140852790516,0.004729739705736535,,,,
157645,Diversen,,DIVERSEN,VALSLUITING SCHROEFBAAR 2DLG,TRAILER DROP CATCH 2 PCS 71 MM, ,0.03599727383395179,0.004730719707659925,,,,
323180,Diversen,,Diversen,VASE L11XW11XH17CM PORCELAIN ORANGE,VASE L11XW11XH17CM PORCELAIN ORANGE, ,0.44493305324098953,0.004750449566524262,,,,
215147,Diversen,,DIVERSEN,FOTOLIJST 420X320X35MM A4 HOUT,PHOTO FRAME 420X320X35MM A4 WOOD, ,0.27785501767777765,0.004751837895005551,,,,
241846,Diversen,,DIVERSEN,WALLHANGER CANDLEHOLDER L28XB10.5XH33CM GOLD,WALLHANGER CANDLEHOLDER L28XB10.5XH33CM GOLD, ,0.8619729629146601,0.004761302510064458,,,,
247722,Diversen,,DIVERSEN,BRANCH BROWN L108CM,BRANCH BROWN L108CM,TIGE BRUN L108CM,0.08995197506467523,0.004812383411469168,,,,
323786,Gereedschappen,Overigen gereedschappen,DIVERSEN,WORKPRO HSS TWIST DRILL BIT 23/64 INCH HSS4341 GROUND,WORKPRO HSS TWIST DRILL BIT 23/64 INCH HSS4341 GROUND, ,0.9819306813002486,0.004829581785209536,,,,
302681,Diversen,,DIVERSEN,OPBERGDOOS 39X29X19CM 2ASS, ,BOITE DE RANGEMENT 2ASS,0.9244937073481115,0.004830646126211091,,,,
252161,Huishoud,,DIVERSEN,TABLE SET UNI 43.5X28.5CM PVC GREY,TABLE SET UNI 43.5X28.5CM PVC GREY,SET TABLE UNI 43.5X28.5CM PVC GRIS,0.16593875915833045,0.0048325947396810065,,,,
279921,Diversen,,DIVERSEN,BALANCE GAME TABLET PP, ,JEU LABYRINTHE D EQUILLIBRE,0.5818211230086625,0.004840192750281802,,,,
319971,Diversen,,DIVERSEN,MT ACRYL TOUCH-UP PEN GRIJS M,MT ACRYL TOUCH-UP PEN GRAY M,MT STYLO RETOUCHE ACRYL GRIS M,0.23746187299572064,0.004846480513343021,,,,
263185,Diversen,,DIVERSEN,TAGETES S L3B3H50CM GEEL,TAGETES S L3B3H50CM YELLOW, ,0.7814607534470738,0.004876406835246483,,,,
300827,Diversen,,DIVERSEN,CAMPINGSTOEL OPVOUWBAAR ZWART, ,CHAISE PLIABLE CLR NOIR,0.7651438154254651,0.00488177824003444,,,,
259938,Diversen,,DIVERSEN,KETER RIO PATIO SET GRAPHITE,KETER RIO PATIO SET GRAPHITE,KETER RIO PATIO SET GRAPHITE,0.5187568161422165,0.004896963302317481,,,,
291845,Diversen,,DIVERSEN,VAAS RD AMY S 12X12X20.5CM D.ROZE,VASE RD AMY S 12X12X20.5CM D.PINK,VASE RD AMY S 12X12X20.5CM ROSE F.,0.014507041267289855,0.0049246221799300605,,,,
318817,Diversen,,DIVERSEN,ZANDLOPER DECO 40CM,HOURGLASS DECO 40CM, ,0.3084946993312637,0.004981020904704314,,,,
326150,Diversen,,DIVERSEN,BLOEMPOTHOUDER SET VAN 3STS, ,SUPPORT POT DE FLEURS SET 3 PCS MDF METAL,0.18778987359541632,0.005049130580835004,,,,
312673,Diversen,,DIVERSEN,FLUFFY PLUIM M 4X9X112CM WIT,FLUFFY BRANCH M 4X9X112CM WHITE,FLUFFY PLUME M 4X9X112CM BLANC,0.7895345209354593,0.005069252222839493,,,,
162924,Diversen,,DIVERSEN,TUINFAKKEL CITRONELLA THEELICHT,GARDEN TORCH CITRONELLA TEALIGHT,TORCHE DE JARDIN CITRONELLE LAMPE THE,0.4364925140123711,0.005075645635994608,,,,
226336,Diversen,,Diversen,GOUDDRAAD 40LED WARM WIT BINNEN,GOLDWIRE 40LED WARM WHITE INDOOR, ,0.4291485682999767,0.005104084957322286,,,,
281455,Diversen,,Diversen,WASMAND RATTAN 60L D41XH38CM BLAUW,LAUNDRY RATTAN BASKET 60L D41XH38CM BLUE, ,0.30233345356601005,0.005141527537147805,,,,
273209,Diversen,,DIVERSEN,POEF LYSANDRE 38X38X38 CM OPVOUWB VELV GRIJS,POUF LYSANDRE 38X38X38 CM FOLDABLE VELV GRS,POUF LYSANDRE 38X38X38 CM PLIABLE VELV GRS,0.32325670916718396,0.005206190913152331,,,,
325578,Diversen,,DIVERSEN,KEUKENSET BARBECUE TAUPE, , ,0.2898242837343711,0.005210911039493449,,,,
204753,Diversen,,DIVERSEN,BADSET 5 DELIG GOUD, , ,0.17679487873797606,0.005211009644249587,,,,
218655,Diversen,,DIVERSEN,KUBUS 2VAKS 34.5X67.5 CM ANTRACIET, ,CUBE 2 NICHES 34.5X67.5 CM ANTHRACITE,0.31678760701451736,0.005224153157908362,,,,
239500,Diversen,,DIVERSEN,CAITLIN PLANT TABLE 38X19X71CM BROWN. BLACK,CAITLIN PLANT TABLE 38X19X71CM BROWN. BLACK,CAITLIN TBLE PLANTE NOIR SET DE 2 38X19X71CM,0.2881621392130408,0.005224335591218376,,,,
231443,Diversen,,DIVERSEN,KUSSEN 40X40CM M/HOES BRUIN ENOA,CUSHION 40X40CM W/COVER ENOA BROWN,COUSSIN 40 X 40 CM ENOA TAUPE,0.9828002899595086,0.005233607899849391,,,,
326094,Sanitair,,DIVERSEN,ALLIBERT DOUCHESET VISION ZWART,ALLIBERT SHOWER SET VISION BLACK, ,0.8968247300439278,0.00526774613106562,,,,
300890,Diversen,,DIVERSEN,GRUNDIG LICHTSNOER 50LED 4ASS B/O, ,GRUNDIG CORDON LUMINEUX 50LED 4AS B/0,0.731520635991795,0.005310416191411926,,,,
296360,Diversen,,DIVERSEN,VAAS GENIUS L ANTIQUE GOUD/ZWART L12.7B12.7H32CM,VASE GENIUS L ANTIQUE GOLD/BLACK L12.7B12.7H32CM,VASE GENIUS L ANTIQUE OR  NOIR L12.7B12.7H32CM,0.594495939582506,0.005334359048536297,,,,
268084,Diversen,,DIVERSEN,BROSSE À DENTS ORAL-B CLASSIC CARE M SET2,BROSSE À DENTS ORAL-B CLASSIC CARE M SET2,BROSSE A DENTS ORAL-B CLASSIC CARE M SET2,0.13778275319354394,0.0053356622206995885,,,,
158248,Diversen,,DIVERSEN,MAND KUBU 16 X 16 X 16 CM BRUIN, , ,0.5147184654339565,0.005339425466865166,,,,
297610,Diversen,,DIVERSEN,"MAGNOLIA BLACK L75XW22XH4CM
","MAGNOLIA BLACK L75XW22XH4CM
",MAGNOLIA NOIR L75XB22XH4CM,0.9445025467649989,0.005345847166374873,,,,
157563,Diversen,,Diversen,BAL YULA 25.5 CM GROEN,BAL YULA 25.5 CM GREEN, ,0.14088405489016753,0.005363455955086027,,,,
292519,Huishoud,Keukengerei,DIVERSEN,TESCOMA GRANDCHEF INDUCTION HOB ADAPTER Ø 17 CM,TESCOMA GRANDCHEF INDUCTION HOB ADAPTER Ø 17 CM, ,0.7792242695623333,0.0054073223502280054,,,,
204682,Diversen,,DIVERSEN,GIFTBAG 18 X 8 X 23 CM ASS 3 FLAMINGO DES,GIFTBAG 18 X 8 X 23 CM ASS 3 FLAMINGO DES, ,0.5911881561639497,0.005461094647663534,,,,
305178,Diversen,,DIVERSEN,BLOEMPOT ROMANA XL ROND 17X17X17.5CM GEEL,BLOEMPOT ROMANA XL ROUND 17X17X17.5CM YELLOW,BLOEMPOT ROMANA XL RONDE 17X17X17.5CM YELLOW,0.801230651630856,0.00546521916341669,,,,
262620,Diversen,,DIVERSEN,MAND 35X29X13.5CM. 3ASS, ,PANIERS RANGEMENT 35X29X13.5CM. 3ASS CLRS,0.17073123537912582,0.005468971760557051,,,,
246750,Diversen,,Diversen,GERANIUM IN POT 11.5X34X20CM STAN GREY SALMON,GERANIUM IN POT 11.5X34X20CM STAN GREY SALMON, ,0.22723807471308122,0.005469557840901973,,,,
268981,Diversen,,DIVERSEN,THEELICHTHOUDER PLATEAU 58CM ZWART, , ,0.32119734422943214,0.005497321553477819,,,,
190462,Diversen,,DIVERSEN,WANDKACHEL MEMPHIS 80CM LED, ,CHAUFFAGE MURAL MEMPHIS 80CM LED,0.6085013597138668,0.005505523688535963,,,,
300454,Diversen,,DIVERSEN,AFVALBAK 1500ML 3 KLEUREN ASS, , ,0.6352631240197232,0.005510730200895542,,,,
188016,Diversen,,DIVERSEN,FLOWER L82CM PLASTIC CREAM,FLOWER L82CM PLASTIC CREAM, ,0.6167273914966405,0.005515425047062261,,,,
219633,Diversen,,DIVERSEN,KUSSEN VOOR LIGBED 60 X 180 CM SPACEO,CUSHION LOUNGER 60 X 180 CM SPACEO, ,0.8388136361149489,0.005520391930550206,,,,
231904,Diversen,,DIVERSEN,SCHILDERIJ 90X30X3CM 3 ASS,CANVAS PRINTED 90X30X3CM 3 ASS, ,0.33917618939330285,0.005522395914266953,,,,
280196,Diversen,,Diversen,THEELICHT RD ADINA S NATUURLIJK,TEALIGHTH RD ADINA S NATURAL, ,0.01689354934297882,0.005530312040901375,,,,
276872,Diversen,,DIVERSEN,KUNSTPLANT 55CM 4ASS STYLEN, ,PLANTE ARTIFICIELLE 55CM 4ASS STYLES,0.6780579887143764,0.005596558376166461,,,,
234386,Diversen,Kerstartikelen,DIVERSEN,SPRAY PINECONE WITH BERRIES 6x35x85CM GREEN,SPRAY PINECONE WITH BERRIES 6x35x85CM GREEN, ,0.972648957641,0.005601725171870187,,,,
304961,Diversen,,DIVERSEN,MAND SET 8 ST KATOEN/ZEEGRAS ZWART/NATUREL,BASKET SET 8 PCS COTTON/SEAGRASS BLACK/NATURAL, ,0.05398805928425454,0.005614167787074353,,,,
260370,Diversen,,DIVERSEN,ALLIBERT DOUCHEWAND SPOT 80X195CM,ALLIBERT SHOWER WALL SPOT 80X195CM, ,0.2686570152539658,0.00565699001100084,,,,
281695,Diversen,,DIVERSEN,SPIRAEA KAILEY 8X8X43CM SALMON,SPIRAEA KAILEY 8X8X43CM SALMON,SPIRAEA KAILEY 8X8X43CM SAUMON,0.97969002591114,0.005762137702974068,,,,
196834,Diversen,,DIVERSEN,LANTAARN 20 X 20 X 32 CM WIT,LANTERN 20 X 20 X 32 CM WHITE, ,0.80247103129025,0.005787704483367295,,,,
320306,Diversen,,Diversen,GEN ERA120.8 TEGELSTRIP HALF ROND 12MM ALUM. 2.5M MAT ZILVER,GEN ERA120.8 ROUND EDGE TRIM 12MM ALUMINIUM 2.5M MATT SILVER, ,0.8483312139175271,0.005799908997227932,,,,
325990,Diversen,,DIVERSEN,VAAS H23CM ROOKGLAS MULTICOLOR,VASE H23CM SMOKY GLASS MULTICOLOR,VASE CRACK BOMBE H23CM VERRE FUME MULTICOLOR,0.4389584745644479,0.0058135771596391494,,,,
279417,Diversen,,Diversen,KAARS SPIRAAL RD TONNIE L L7.5B7.5H15CM GRIJS,CANDLE SPIRAL RD TONNIE L L7.5B7.5H15CM GREY, ,0.12068979034089755,0.0058498356900198445,,,,
281429,Diversen,,DIVERSEN,MAXIME FLEECE PLAID FUCHSIA L180X130CM,MAXIME FLEECE PLAID FUCHSIA L180X130CM,MAXIME PLAID POLAIRE FUCHSIA L180X130CM,0.548630655034381,0.005865074785752933,,,,
221170,Diversen,,DIVERSEN,CANDLEHOLDER ZIO IRON WHITE,CANDLEHOLDER ZIO IRON WHITE, ,0.4818132277275685,0.005889490830226718,,,,
308555,Diversen,,DIVERSEN,POT INSECT DISPLAY H12XD13.5CM DOLOMITE 3 COLORS ASSORTED,POT INSECT DISPLAY H12XD13.5CM DOLOMITE 3 COLORS ASSORTED, ,0.3787536278491309,0.005893007308128806,,,,
223776,Diversen,,DIVERSEN,HANGING CHAIR HAMMOCK 100X90CM 4ASS CLRS,HANGING CHAIR HAMMOCK 100X90CM 4ASS CLRS,FAUTEUIL HAMAC SUSPENDU 100X90CM 4ASS CLRS,0.2298529364297296,0.0059038223851204386,,,,
282932,Diversen,,DIVERSEN,VOORRAADDOOS 17 CM DEKSEL BAMBOE TRANSP,STORAGE BOX 17 CM BAMBOO LID TRANSP, ,0.7357111972170822,0.005905208487952729,,,,
300656,Diversen,,Diversen,VENETA VASE H13XD11CM GLASS BLACK,VENETA VASE H13XD11CM GLASS BLACK, ,0.4043564179220329,0.005910149798943665,,,,
288242,Diversen,,DIVERSEN,TAK 74CM GLITTER EUCALYPTUS, , ,0.821813184446071,0.005924544995758452,,,,
221413,Diversen,,DIVERSEN,VASE LOTTY L10XB10XH10CM GLASS TRANSP,VASE LOTTY L10XB10XH10CM GLASS TRANSP, ,0.8073109479920476,0.005991880184647247,,,,
314349,Diversen,Kerstartikelen,DIVERSEN,CANDLE WAX Ø7X15CM 2 COLOURS ASSORTED,CANDLE WAX Ø7X15CM 2 COLOURS ASSORTED, ,0.9311886094003173,0.005993532539368962,,,,
218260,Diversen,,DIVERSEN,TUINSCHEP HOUTEN GREEP, , ,0.23110278289510555,0.006025655775366845,,,,
310674,Sanitair,Badkameraccessoires,DIVERSEN,MEUBEL 3 PLANKEN OP WIELEN METAAL WIT,FURNITURE 3 SHELVES ON WHEELS METAL WHITE, ,0.018129060065989355,0.00606426132570681,,,,
310655,Sanitair,Badkameraccessoires,DIVERSEN,MAND RECHTHOEK SET 3 ST KATOEN/ZEEGRAS WIT/NATUREL,BASKET RECTANGULAR SET3PCS COTTON/SEAGRASS WHITE/NATURAL, ,0.6344104735422863,0.006067296404699496,,,,
326275,Diversen,,DIVERSEN,DUNLOP 2 WEG USB TYPE A & C AANSLUITING,DUNLOP 2 WAY USB TYPE A & C SOCKET,DUNLOP PRISE 2 VOIES USB TYPE A & C,0.8948803978747818,0.006073907063333772,,,,
249774,Diversen,Kerstartikelen,DIVERSEn,WIJNGLAS 245ML AMBER,WINE GLASS 245ML AMBER, ,0.8299995691170642,0.0060943356351527145,,,,
218971,Diversen,,DIVERSEN,ONDERZETTER ROND Ø 40.5 CM ZWART, ,PORTE POT ROND SUR ROUE Ø40.5CM NOIR,0.5867538653469929,0.006112707842362619,,,,
297585,Diversen,,DIVERSEN,"CONE CANDLE TERRA H25XD5CM
","CONE CANDLE TERRA H25XD5CM
",BOUGIE CONIQUE TERRA H25XD5CM,0.784993516788331,0.0061224744871682946,,,,
235708,Diversen,,DIVERSEN,ROCK BOTTLE 7.5X7.5X16CM STONE COPPER,ROCK BOTTLE 7.5X7.5X16CM STONE COPPER, ,0.06406925615929271,0.006128069842096684,,,,
324134,Diversen,,DIVERSEN,PAINTBRUSH ROUND 60MM,PAINTBRUSH ROUND 60MM,PINCEAU ROND 60MM,0.10593284281699411,0.006241518826529235,,,,
135900,Huishoud,Keukengerei,DIVERSEN,CAKE DECORATIESET 16 DELIG, , ,0.7197521482940393,0.006262102711655726,,,,
235710,Diversen,,DIVERSEN,ROCK BOTTLE 7.5X7.5X16CM STONE GLITTER RED,ROCK BOTTLE 7.5X7.5X16CM STONE GLITTER RED, ,0.3658020045954069,0.006267144965612204,,,,
323869,Gereedschappen,Overigen gereedschappen,DIVERSEN,WORKPRO FLAP DISC T29 115X22.2-60G ALU OXIDE,WORKPRO FLAP DISC T29 115X22.2-60G ALU OXIDE, ,0.48014641185169415,0.006281019022970291,,,,
270610,Raamdecoratie,,DIVERSEN,KUSSEN METALLIC LIFE Ø15X40CM ZILVER,CUSHION METALLIC LIFE Ø15X40CM SILVER, ,0.5325334971249723,0.0062973623756859,,,,
306982,Diversen,,DIVERSEN,BLACKBOARD 38.5X82CM FIREWOOD NATURAL,BLACKBOARD 38.5X82CM FIREWOOD NATURAL, ,0.4482347801289266,0.006316326296913477,,,,
218967,Diversen,,DIVERSEN,GIETER CITRONELLA 4KL ASS SET12, ,ARROSOIR CITRONNELLE 4 CLS ASS SET12,0.9274478217020521,0.006366279523811635,,,,
226242,Diversen,,DIVERSEN,KRUK 42X46X97CM HOOG GRIJS, ,TABOURET DE BAR GRIS 42X46X97CM,0.6241908977466446,0.006378119814948735,,,,
323165,Diversen,,Diversen,MONI CUSHION L55XW35XH10CM COTTON BROWN,MONI CUSHION L55XW35XH10CM COTTON BROWN, ,0.5933784821179181,0.006412271098343747,,,,
271232,Diversen,,DIVERSEN,MICROLED CL.VERLICHTING BO 80CM ZILVER/WIT,MICRO LED BUNCH L IND BO 80CM SILVER/WHITE,MIC LED BOUQUET A PILE 80CM-60L ARG BL CH,0.5298533537115944,0.006493360319714592,,,,
293374,Diversen,,DIVERSEN,KOFFIE ESPRESSO GLAS 70ML/2.37, ,VERRE A CAFE ESPRESSO 70ML/2.37,0.040886047000265324,0.006500125356908915,,,,
187920,Diversen,,DIVERSEN,VASE PADMA 34 X 34 X 50 CM BROWN,VASE PADMA 34 X 34 X 50 CM BROWN, ,0.8942531572452582,0.0065153714264901685,,,,
291141,Diversen,,Diversen,FABIA TEALIGHT HOLDER GLASS H20.5XD8.5 BROWN,FABIA TEALIGHT HOLDER GLASS H20.5XD8.5 BROWN, ,0.41240238477680513,0.006548313989440446,,,,
291488,Diversen,,DIVERSEN,PLANTER TERRACOTTA 3ASS,PLANTER TERRACOTTA 3ASS,JARDINIERE TERRE CUITE 3ASS,0.04496008653145844,0.00655656724026199,,,,
305949,Diversen,,DIVERSEN,KEUKENSET HELSINKI GROEN, , ,0.6029246869658975,0.006557788694999456,,,,
326779,Diversen,,DIVERSEN,HERMEX GAS PISTON 120 N,HERMEX GAS PISTON 120 N,HERMEX PISTON A GAZ 120 N,0.5148127618367001,0.006601532012837863,,,,
278232,Diversen,,Diversen,HYDRANGEA L51CM GREEN,HYDRANGEA L51CM GREEN, ,0.5702397750935604,0.006637245300299299,,,,
303975,Diversen,Kerstartikelen,DIVERSEN,BAUBLE Ø8CM GLITTER LEAF DECO 2ASS MOSS GREEN,BAUBLE Ø8CM GLITTER LEAF DECO 2ASS MOSS GREEN, ,0.46168365034876735,0.006637434927559749,,,,
234297,Diversen,Kerstartikelen,DIVERSEN,RUG COTTON VINTAGE 2COL ASS 230x160CM,RUG COTTON VINTAGE 2COL ASS 230x160CM, ,0.013571286087471046,0.0066624216531969704,,,,
263592,Diversen,,DIVERSEN,BOWL D 14CM M18,BOWL D 14CM M18, ,0.07968810804860493,0.006662771937199441,,,,
263163,Diversen,,Diversen,KRUIK ROND DONYA S L16B13H16CM ORANJE,PITCHER RD DONYA S L16B13H16CM ORANGE, ,0.8422520050323087,0.0066990528659698345,,,,
291334,Diversen,,DIVERSEN,"SPIEGEL ROZE H4XD39CM
", ,MIROIR ROSE H4XD39CM,0.12408663374714246,0.0067536082348459425,,,,
317729,Diversen,,DIVERSEN,NEO GOOTSTEEN ORGANIZER & DISPENSER 21.5X13.5X14CM GRIJS,NEO SINK CADDY & DISPENSER 21.5X13.5X14CM GREY,NEO ORGANISATEUR EVIER DISTRI 21.5X13.5X14CM GRIS,0.28644412445679013,0.006785550883346647,,,,
219602,Diversen,,DIVERSEN,HOESLAKEN 1 PERSOONS 90 X 190 CM GRIJS/WIT,SINGLE FITTED SHEET 90 X 190 CM GREY/WHITE, ,0.6045328402045146,0.006832361563026579,,,,
253983,Sanitair,,DIVERSEN,WENKO DUROPLAST TOILETZITTING BERGAMO MOSGROEN,WENKO DUROPLAST TOILET SEAT BERGAMO GREEN, ,0.751410985106921,0.006908340444950589,,,,
287636,Diversen,,DIVERSEN,KANDELAAR SET 3 ST AMBER, , ,0.47197806658486263,0.006926160706291484,,,,
282702,Diversen,Kerstartikelen,Diversen,TREE 8 PIECES L18XW11.5XH1CM GREEN,TREE 8 PIECES L18XW11.5XH1CM GREEN, ,0.11698542096972331,0.006987225783973483,,,,
281249,Diversen,,DIVERSEN,FLEUR VASE GLASS L11.5X7X21DCM,FLEUR VASE GLASS L11.5X7X21DCM,FLEUR VASE VERRE L11.5X7X21DCM,0.18897049184300319,0.007018372355572677,,,,
221272,Diversen,,DIVERSEN,TEALIGHT HOLDER INGER H12XD9CM GLASS D.RED,TEALIGHT HOLDER INGER H12XD9CM GLASS D.RED, ,0.995508164055193,0.007028401188680977,,,,
298781,Diversen,,DIVERSEN,PLATE GLASS STRIES 24.5X24.5CM,PLATE GLASS STRIES 24.5X24.5CM,ASSIETTE VERRE STRIES 24.5X24.5CM,0.1282566052954205,0.0070330629738448724,,,,
291317,Diversen,,DIVERSEN,DANU SINGLE FLOWER VAAS GRIJS H20.5CM, ,DANU SOLIFLOR VASE GRIS L10XB6.5XH20.5CM,0.8256169652261135,0.007058876367176614,,,,
312647,Diversen,,DIVERSEN,KAARSEN RD FINBAR 11.5X11.5X33.5CM BRONS,CANDLE RD FINBAR 11.5X11.5X33.5CM BRONZE,BOUGOIRE RD FINBAR 11.5X11.5X33.5CM BRONZE,0.7681476584453952,0.0070981431554555385,,,,
256486,Huishoud,,DIVERSEN,STOEL 34X30X58 CM PP BEUKEN ROZE,CHAIR 34X30X58 CM PP BEECH PINK,CHAISSE 34X30X58 CM PP HÊTRE ROSE,0.6239057456009726,0.00712309111197007,,,,
322143,Diversen,,DIVERSEN,RELAXSTOEL EGG 78X71X84CM METAAL GRIJS,EGG RELAX CHAIR 78X71X84CM METAL GREY,FAUTEUIL RELAX OEUF 78X71X84CM METAL GRIS,0.03732288482225132,0.0071261269569143915,,,,
280525,Diversen,,Diversen,KAPSTOK FELIX S L40B11H21CM ZWART,COAT RACK FELIX S L40B11H21CM BLACK, ,0.045904707315785,0.007241770767504763,,,,
323878,Gereedschappen,Handgereedschap elektrisch,DIVERSEN,WORKPRO CORDLESS BRUSHLESS CIRCULAR SAW 20V 110V~50/60HZ,WORKPRO CORDLESS BRUSHLESS CIRCULAR SAW 20V 110V~50/60HZ, ,0.420440322764294,0.007244151482428074,,,,
269263,Diversen,,DIVERSEN,KERSTBAL 120MM 3ASS ROOD, , ,0.5189505112741161,0.0072614994854298676,,,,
249893,Diversen,Kerstartikelen,DIVERSEn,WIJNGLAS PS SET 4STS 4ASS,WINEGLASS 6 OZ SET OF 4PCS, ,0.5108051611209131,0.007269972542662151,,,,
242657,Diversen,,DIVERSEN,PLACEMAT 2 DESIGN ASS BAMBOE, ,SET DE TABLE BAMBOU 2ASS,0.7702839640717052,0.0072876189505635125,,,,
319970,Diversen,,DIVERSEN,ACRYL TOUCH-UP PEN P ZWART,ACRYL TOUCH-UP PEN P BLACK,STYLO RETOUCHE ACRYL NOIR P,0.368524717137372,0.007307130515057714,,,,
170222,Diversen,,DIVERSEN,DEURSTOP 96G XL WIT,DOOR STOP 96G XL WHITE, ,0.6430651296242976,0.007308091117091853,,,,
220718,Diversen,,Diversen,CLASSIC BOTTLE H24XD14CM TRANSP  ,CLASSIC BOTTLE H24XD14CM TRANSP  ,BOUTEILLE CLASSIQUE TRANSP  H24XD14CM,0.8132939363719717,0.007337730977458601,,,,
293598,Diversen,,DIVERSEN,SERVEERSET PORSELEIN WIT, ,SET DE SERVICE PORCELAINE BLANC,0.2751773864757636,0.0073901599646962746,,,,
312617,Diversen,,DIVERSEN,CACTACEAE IN POT HORNELL S 10X10X20CM GROEN,CACTACEAE IN POT HORNELL S 10X10X20CM GREEN,CACTACEAE EN POT HORNELL S 10X10X20CM VERT,0.7985459679440432,0.007403774873113278,,,,
263043,Diversen,,DIVERSEN,KUNSTBLOEM MAGNOLIA SPRAY CHAYCA M 87CM ROZE,ART FLOWER MAGNOLIA SPRAY CHAYCA M 87CM PRINK,FLEUR ART MAGNOLIA SPRAY CHAYCA M 87CM ROSE,0.8312306031994554,0.007405103501942789,,,,
282334,Diversen,,Diversen,AZALEA IN BALCONY TRAY SLATE 29X13X27CM PEACH,AZALEA IN BALCONY TRAY SLATE 29X13X27CM PEACH, ,0.36409075215695763,0.007405972282382822,,,,
226965,Diversen,,DIVERSEN,KUSSEN 100X70CM VINTAGE POSTZEGEL, ,COUSSIN VINTAGE 100x70CM TIMBRE,0.9196709893813229,0.007406899096641606,,,,
316065,Diversen,,DIVERSEN,SPIEGEL ROMEO KATOEN 60X90CM GLAS METAAL TETRONCOT WIT,MIRROR COTTON ROMEO 60X90CM GLASS METAL TETRONCOT WHITE,MIROIR COTON ROMEO 60X90CM VERRE METAL TETRONCOT BLANC,0.7910791384720299,0.007464401665587372,,,,
211095,Diversen,,DIVERSEN,TUINSET 3 DELIG ANTRACIET,FURNITURE SET 3 PCS ANTHRACITE, ,0.32028956809228715,0.007467078675724714,,,,
298576,Diversen,,Diversen,ORNAMENT LEAF 2 ASSORTED DISPLAY H9XD8CM BROWN CREAM,ORNAMENT LEAF 2 ASSORTED DISPLAY H9XD8CM BROWN CREAM, ,0.8887329548566888,0.0075073156465270685,,,,
291686,Diversen,,DIVERSEN,BOUWLAMP ZWART LED 20 WATT 4000K,SITE LAMP LED 20 WATT 4000K BLACK,LAMPE DE CHANTIER LED 20 WATT 4000K NOIR,0.5733574836601345,0.007523185268547783,,,,
227147,Diversen,,DIVERSEN,CACTUS GLAS L17XB6.5XH20CM, ,CACTUS VERRE L17XB6.5XH20CM,0.22452601353462398,0.007569273981703262,,,,
239942,Diversen,,DIVERSEN,LUX KUSSEN ZWART L60XB40CM, ,LUX OREILLER NOIR L60XB40CM,0.26103969125284665,0.007575871684164626,,,,
314766,Huishoud,,DIVERSEN,JUICE DISPENSER 4L GLASS,JUICE DISPENSER 4L GLASS,JUICE DISPENSER 4L VERRE,0.6244392539279923,0.007632849023743948,,,,
235209,Diversen,,Diversen,VASE INES D13XH21 GLASS TRANSP,VASE INES D13XH21 GLASS TRANSP, ,0.6126918454202211,0.007743603257638787,,,,
296101,Diversen,,DIVERSEN,SCINDAPSUS GROEN L5B5H121CM,SCINDAPSUS GREEN L5B5H121CM,SCINDAPSUS VERT L5B5H121CM,0.2581833255380924,0.007758180196103415,,,,
302471,Diversen,,Diversen,HOTECHE SCREWDRIVER SL5.0X100MM CRV,HOTECHE SCREWDRIVER SL5.0X100MM CRV,HOTECHE TOURNEVIS SL5.0X100MM CRV,0.643237093885097,0.007787520262593217,,,,
280027,Diversen,,DIVERSEN,COMFORT AID VERBANDDOOS 30ST,FIRST AID KIT 30PCS           ,COMFORT AID TROUSSE DE SECOURS 30PCE,0.604234806509749,0.007835109895757975,,,,
180434,Sanitair,Overigen sanitair,DIVERSEN,FIBER RING ASSORTI VOOR KRAANBOVENDELEN, , ,0.1461422382671237,0.007851528532935248,,,,
308476,Diversen,,DIVERSEN,STELVIO POT L25XW18XH16.5CM CERAMIC BROWN,STELVIO POT L25XW18XH16.5CM CERAMIC BROWN, ,0.3765396784587157,0.00785693146753097,,,,
271686,Diversen,,DIVERSEN,BEWAARBLIK SUIKER 2ASS CLR, ,BOITE DE RANGEMENT 2ASS TP,0.7150426414511344,0.007960731538502741,,,,
251479,Diversen,,DIVERSEN,MAATBEKER SET 4DLG RVS,MEASURING CUP SET 4PCS S/S, ,0.30701154756449833,0.008018564504160275,,,,
